,I Year,,To be given for 12 sections,,,,,,,,,,,,,,,,
,21CSC101T Object Oriented design and programming (G Slot),,,,21GNH101J,Philosophy of Engineering (C Slot),,,,,,,,,,,,,
1,CS Cloud Computing,AH1,Dr.M.Anand,,CS Cloud Computing,AH1,Dr.Indhra Bhoosan,,,,,,,,,,,,
2,CS Cloud Computing,AH2,Dr.M.Anand  ,,CS Cloud Computing,AH2,Dr.Indhra Bhoosan 2,,,,,,,,,,,,
3,CS Cloud Computing,AI1,,,CS Cloud Computing,AI1,Dr. Deepika,,,,,,,,,,,,
,CS Cyber Security,,Dr.Swathy,,CS Cyber Security,,,,,,,,,,,,,,
4,CS Cyber Security,AJ1,Dr.Nallarasan,,CS Cyber Security,AJ1,Dr.Rajaram,,,,,,,,,,,,
5,CS Cyber Security,AK1,Dr.Mahendran,,CS Cyber Security,AK1,Dr.Deepa,,,,,,,,,,,,
6,CS Cyber Security,AL1,Dr.S.Priyanka,,CS Cyber Security,AL1,Ms.Preethi,,,,,,,,,,,,
7,CS Cyber Security,AI2,Dr.Ashok Kumar,,CS Cyber Security,AI2,Dr.Manickam,,,,,,,,,,,,
8,CS Cyber Security,AJ2,Dr.Nallarasan 2,,CS Cyber Security,AJ2,Dr.Mursal,,,,,,,,,,,,
9,CS Cyber Security,AK2,Ms.Vennila,,CS Cyber Security,AK2,Dr.Suseela,,,,,,,,,,,,
,CS Cyber Security,AL2,Dr.Avinash,,CS Cyber Security,AL2,,,,,,,,,,,,,,
10,CS DevOps,,,,CS DevOps,,,,,,,,,,,,,,
,CS Bigdata,,,,CS Bigdata,,Ms.Priyasri,,,,,,,,,,,,
,CS SWE,AO1,,,CS SWE,AO1,,,,,,,,,,,,,
11,CS CN,,,,CS CN,,,,,,,,,,,,,,
,M.Tech (Int) CC,,,,M.Tech (Int) CC,,,,,,,,,,,,,,
,Nanotechnology,AP1,,,Nanotechnology,AP1,,,,,,,,,,,,,
12,M.Tech (Int) Material Sc,,,,M.Tech (Int) Material Sc,,,,,,,,,,,,,,
,M.Tech (Int) CSDF,,,,M.Tech (Int) CSDF,,,,,,,,,,,,,,
,CS Maths & Computing,,,,CS Maths & Computing,,,,,,,,,,,,,,
,CS Data Science,AC2,,,CS Data Science,AC2,,,,,,,,,,,,,
13,CS IT,,,,CS IT,,,,,,,,,,,,,,
14,CS IT,AD2,Dr.Siva Kumar,,CS IT,AD2,,POE  studied in 1st sem,,,,,,,,,,,
